seq,sido_cd,sido_nm,gugun_cd,gugun_nm,code_order,view_yn,store_num,sido,gugun,address,new_img_nm,p_pro_seq,p_view_yn,p_sido_cd,p_gugun_cd,p_store_nm,p_theme_cd,p_wireless_yn,p_smoking_yn,p_book_yn,p_music_yn,p_terrace_yn,p_table_yn,p_takeout_yn,p_parking_yn,p_dollar_assent,p_card_recharge,p_subway_yn,stb_store_file_renew,stb_store_theme_renew,stb_store_time_renew,stb_store_lsm,s_code,s_name,tel,dlvry_call_cntr_phno,fax,sido_code,sido_name,gugun_code,gugun_name,addr,park_info,new_state,theme_state,new_bool,search_text,ins_lat,ins_lng,in_distance,out_distance,all_search_cnt,addr_search_cnt,store_search_cnt,rowCount,store_nm,store_cd,s_biz_code,new_icon,set_user,favorites,map_desc,notice,defaultimage,etcimage,in_biz_cd,in_store_cd,in_favorites,in_user_id,in_biz_cds,in_biz_arr,in_biz_arrdata,in_scodes,in_scode_arr,in_scode_arrdata,disp,set_date,hlytag,hlytag_msg,vSal,istart,iend,open_dt,gold_card,ip_lat,ip_long,espresso,new_store,premiere_food,doro_address,cold_blew,my_siren_order_store_yn,whcroad_yn,skuNo,skuName,skuImgUrl,stock_count,store_area_name,store_area_code,is_open,ev_open_yn,option,gift_stock_yn,lat,lot,t20,t04,t03,t01,t12,t09,t06,t10,p10,p50,p20,p60,p30,p70,p40,p80,t22,t21,p90,p01,t05,t30,t36,t27,t29,t43,t48,z9999,t64,t66,p02
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1509,역삼아레나빌딩,1522-3232,,02-568-3763,01,서울,0101,강남구,서울특별시 강남구 역삼동 721-13 아레나빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@T30@T32@@@T36@T43@T52@T56@T57@T64@T65@T69@T71@P80@P90,0,,,,0,9.26,-1,-1,-1,30,,0,3762,N,,0,,,/upload/store/2019/06/[3762]_20190612101444_j4839.JPG,,,,,,0,,,0,,,,,,,,1,60,20190613,0,,,,,,서울특별시 강남구 언주로 425 (역삼동),,N,WHCROAD,,,,0,,A01,,,,,37.501087,127.043069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1434,논현역사거리,1522-3232,,02-3442-3673,01,서울,0101,강남구,서울특별시 강남구 논현동 142-2 정일빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@T22@T30@T32@T36@@T52@T56@T57@T64@T65@T69@P70@P80@P90,0,,,,0,7.38,-1,-1,-1,30,,0,3672,N,,0,,,/upload/store/2025/07/3672_20250709034455_lnuoo.jpg,,,,,,0,,,0,,,,,,,,1,60,20181123,0,,,,,,서울특별시 강남구 강남대로 538 (논현동),,N,,,,,0,,A01,,,,,37.510178,127.022223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1595,신사역성일빌딩,1522-3232,,02-547-3859,01,서울,0101,강남구,서울특별시 강남구 논현동 18-4 성일빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@T30@T32@T34@@@@T52@T56@T57@T64@T65@T68@T69@T73@P80@P90,0,,,,0,6.95,-1,-1,-1,30,,0,3858,N,,0,,,/upload/store/2022/01/[3858]_20220127064243_5khni.jpg,,,,,,0,,,0,,,,,,,,1,60,20191219,0,,,,,,서울특별시 강남구 강남대로 584 (논현동),,N,,,,,0,,A01,,,,,37.5139309,127.0206057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1527,국기원사거리,1522-3232,,02-568-3669,01,서울,0101,강남구,서울특별시 강남구 역삼동 648-22 동찬빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@T30@T32@T34@@@T36@T52@T56@T57@T64@T65@T69@P70@P90,0,,,,0,8.82,-1,-1,-1,30,,0,3669,N,,0,,,/upload/store/2019/07/[3669]_20190730073527_5nk40.jpg,,,,,,0,,,0,,,,,,,,1,60,20190731,0,,,,,,서울특별시 강남구 테헤란로 125 (역삼동),,N,WHCROAD,,,,0,,A01,,,,,37.499517,127.031495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1468,대치재경빌딩,1522-3232,,02-568-3705,01,서울,0101,강남구,서울특별시 강남구 대치동 599 대원빌딩,,,Z9999@@T05@T08@T16@T17@T20@T21@T22@@@T30@T32@@@T43@T52@T56@T57@T64@T65@T69@T71@P90,0,,,,0,10.92,-1,-1,-1,30,,0,3703,N,,0,,,/upload/store/2023/12/[3703]_20231217121347_eqnky.jpg,,,,,,0,,,0,,,,,,,,1,60,20190214,0,,,,,,서울특별시 강남구 남부순환로 2947 (대치동),,N,WHCROAD,,,,0,,A01,,,,,37.494668,127.062583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1640,봉은사역,1522-3232,,02-517-3913,01,서울,0101,강남구,서울특별시 강남구 삼성동 108-6 JBK TOWER 빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@T30@T32@T34@@T43@T52@T56@T57@T64@T65@T69@T71@P80@P90,0,,,,0,9.42,-1,-1,-1,30,,0,3912,N,,0,,,/upload/store/2020/05/[3912]_20200527074116_twz04.jpg,,,,,,0,,,0,,,,,,,,1,60,20200528,0,,,,,,서울특별시 강남구 봉은사로 619 (삼성동),,N,WHCROAD,,,,0,,A01,,,,,37.515,127.063196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1650,압구정윤성빌딩,1522-3232,,02-546-3894,01,서울,0101,강남구,서울특별시 강남구 신사동 592 윤성빌딩,,,Z9999@T05@T08@T16@T17@T20@T21@T30@T32@T34@T36@@@T52@T56@T57@T64@T65@T69@P70@P80@P90,0,,,,0,6.58,-1,-1,-1,30,,0,3893,N,,0,,,/upload/store/2021/08/[3893]_20210828042809_9v371.jpg,,,,,,0,,,0,,,,,,,,1,60,20200529,0,,,,,,서울특별시 강남구 논현로 834 (신사동),,N,WHCROAD,,,,0,,A01,,,,,37.5227934,127.0286009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1626,코엑스별마당,1522-3232,,02-508-3898,01,서울,0101,강남구,서울특별시 강남구 삼성동 159 코엑스,,,Z9999@T05@T08@T16@T17@T20@T30@T32@T34@T36@T52@T56@T57@T65@T69@P40@P80@P90@T09,0,,,,0,9.57,-1,-1,-1,30,,0,3897,N,,0,,,/upload/store/2020/04/[3897]_20200416024102_gur3n.jpg,,,,,,0,,,0,,,,,,,,1,60,20200416,0,,,,,,서울특별시 강남구 영동대로 513 (삼성동),,N,WHCROAD,,,,0,,A01,,,,,37.510150,127.060275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1438,삼성역섬유센터R,1522-3232,,02-568-3649,01,서울,0101,강남구,서울특별시 강남구 대치동 944-31 한국섬유산업연합회,,,Z9999@T03@T05@T08@T16@T17@T20@@T26@T29@T30@@T34@@@T36@T42@T52@T56@T57@T64@T65@T69@P80@P90,0,,,,0,9.77,-1,-1,-1,30,,0,3648,N,,0,,,/upload/store/2019/04/[3648]_20190416114636_1vz1i.jpg,,,,,,0,,,0,,,,,,,,1,60,20181123,0,,,,,,서울특별시 강남구 테헤란로 518 (대치동),,N,WHCROAD,,,,0,,A01,,,,,37.507750,127.060651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1411,압구정R,1522-3232,,02-541-3622,01,서울,0101,강남구,서울특별시 강남구 신사동 621-1,,,Z9999@T03@T05@T08@T16@T17@T20@T21@@T26@T29@T30@T32@@@@@T37@T39@T41@T42@T52@T56@T57@T64@T65@T69@P90@T09,0,,,,0,6.5,-1,-1,-1,30,,0,3623,N,,0,,,/upload/store/2019/11/[3623]_20191125073032_uaqua.jpg,,,,,,0,,,0,,,,,,,,1,60,20180831,0,,,,,,서울특별시 강남구 언주로 861 (신사동),,N,WHCROAD,,,,0,,A01,,,,,37.5273669,127.033061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
