title,author,publisher,publication_date,sales_price,original_price,rating,review_count
된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,2025년 11월,18000,20000,9.8,62
요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호,골든래빗,2026년 02월,25200,28000,10.0,2
누구나 아는 나만 모르는 제미나이,이성원,한빛미디어,2026년 01월,17100,19000,10.0,11
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,24300,27000,9.5,44
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",안익재,앤써북,2025년 12월,17820,19800,10.0,84
피지컬 AI 메가 트렌드,최홍섭,위즈덤하우스,2026년 01월,20700,23000,9.9,21
요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호,골든래빗,2025년 09월,21600,24000,8.4,18
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,박진환,한빛미디어,2025년 05월,18000,20000,9.8,65
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,18000,20000,9.4,97
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,쌩초,골든래빗,2025년 12월,16920,18800,10.0,82
제로클릭,손승완,길벗,2026년 01월,16920,18800,9.8,41
AI 에이전트 엔지니어링,마이클 알바다,한빛미디어,2026년 01월,28800,32000,10.0,3
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영,골든래빗,2026년 01월,23400,26000,10.0,4
AI 버블이 온다,아르빈드 나라야난,윌북(willbook),2025년 12월,22320,24800,9.9,46
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원,한빛미디어,2025년 10월,17100,19000,9.7,39
MK에디션 CES 2026,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,18000,20000,N/A,N/A
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,Dave Lee,길벗,2026년 02월,28800,32000,10.0,4
요즘 당근 AI 개발,당근 팀,골든래빗,2025년 10월,19800,22000,9.9,86
대체불가 AI 영상 제작 완전정복,이용태,책바세,2025년 12월,26100,29000,9.8,12
AI가 쉬워지는 최소한의 수학,이동준,지상의책(갈매나무),2026년 02월,18000,20000,10.0,3
AI 프로젝트 100% 성공을 위한 체크리스트 17,유진호,책만,2026년 01월,25200,28000,10.0,5
AI 엔지니어링,칩 후옌,한빛미디어,2025년 09월,36000,40000,9.9,15
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오",현병욱(오땡큐),시프트,2025년 09월,18000,20000,9.7,29
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2025년 04월,28800,32000,9.7,142
Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,2025년 05월,31500,35000,9.7,21
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,박현규,골든래빗,2025년 09월,21600,24000,9.9,84
된다! 하루 만에 준비하는 AI 학교 수업 활용법,정인걸,이지스퍼블리싱,2025년 03월,17820,19800,10.0,39
된다! 피그마 디자인 10분 레시피,하이서,이지스퍼블리싱,2026년 02월,25200,28000,10.0,1
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,2025년 11월,25200,28000,10.0,4
AI 팀원이 다 해줌,이나현,한빛미디어,2025년 12월,20700,23000,9.9,136
요즘 유치원 교사를 위한 에듀테크 활용법 : 캔바/패들렛/네이버/구글/태블릿 활용법,전서아,앤써북,2025년 11월,15120,16800,9.9,39
AI 에이전트 생태계,조쉬,로드북,2025년 08월,24300,27000,9.7,15
